상품명,판매건수,가격
봉투,11902,50
바나나,3210,3900
알뜰특란,2900,5300
켐벨포도,2817,29800
야채,2776,0
딸기,2495,0
상추,2319,0
백오이,2313,1490
봉투,2072,30
남양)GT맛있는우유,1876,2380
감귤,1838,4500
오)맛있는밥기획,1766,4450
강릉초당)왕콩나물,1756,1950
삼양)후레쉬기획,1695,3750
애호박,1652,1490
양파(소),1650,2900
복숭아,1640,0
대파,1595,2980
동양축산)하루한알(특란),1581,1850
청과,1477,0
풀)소가/찌개두부,1428,1100
감자,1407,0
느타리버섯,1391,1290
청양고추,1297,0
양배추,1280,0
대림)부산어묵(얇은),1222,1500
풀)소가/부침두부,1138,1100
무우,1131,1980
오)3분쇠고기카레,1100,1000
쌍용)후레시아물티슈(캡),1050,1750
대추방울,1042,7500
팽이버섯,1029,990
광동)삼다수(대),1018,1000
강릉초당)고소한두부(찌개용),994,1500
얼갈이,970,3900
새송이버섯,934,1490
오)마일드참치,916,2600
장수)막걸리,908,990
백설)계란이왔어요,898,3350
깐마늘,892,0
롯데)런천미트,884,3380
풀)소가통통신선란,878,3700
토마토,866,0
풀)액티비아컵(플레인),846,2350
동양축산)일품란,836,3550
부추,812,5500
CJ)행복한콩(고소찌게),810,1480
봉지깻잎,783,1500
토마토,772,42000
서울우유,763,2490
깻잎,757,990
흙당근,747,0
CJ)행복한콩(고소부침),736,1480
풀)액티비아컵(딸기),736,2350
강릉초당)봉지두부,723,1500
거봉,717,6900
오)토마토케찹,708,1450
한돈삼겹살(국내산),695,0
대림)크라비아,690,2950
세척당근,688,1500
밤고구마,682,0
청양고추,663,990
오)다이제(초코),651,3350
농심)육개장사발면(6입),650,4500
백설)햇반기획상품,650,4600
다진마늘,650,0
블루베리,649,2980
부사,646,9800
삼부자)광천도시락김,637,5400
오)3분쇠고기짜장,612,1000
백설)이탈리아스파게티면,600,2950
청포도,595,0
양상추,595,3980
삼립)쫄깃한식빵,593,1850
한우양지국거리(국내산),581,0
가지,581,1490
참이슬후레쉬,576,1200
풀)부산순야채어묵,574,1400
청피망,571,990
농심)신라면멀티,561,3350
동서)아몬드후레이크,556,4150
코카)코카콜라,554,3200
크린백(중）25*35,554,2250
국산콩나물,550,1290
강릉심층수팩두부,540,2000
영양부추,531,1290
돼지찌게,529,0
파프리카,522,0
펭귄)꽁치,522,3150
봄동,519,0
켈로그)콘푸로스트,510,7200
롯데)요구르트,510,1000
특수야채류,509,0
파프리카,509,1490
봉지사과,508,7900
숙주,506,0
광동)삼다수(소),503,500
칠성)칠성사이다기획번들,502,4200
완숙토마토,496,0
오징어,490,0
하림)닭복음탕용,482,5500
롯데)베이컨,481,4980
롯데)제주감귤,478,2350
그린키위,473,3500
처음처럼,468,1200
생굴,458,0
동양축산)백세건강란(특란),457,4350
빙)굿모닝우유,453,1980
삼양)갓짬뽕,443,5400
미나리,433,0
아삭이고추,433,1490
코카)미닛홈자몽,431,3150
깐양파,421,0
냉이,420,0
참외,417,0
코카)미닛홈오렌지,415,3150
백설)알짜란,396,5100
한돈목살구이(국내산),394,0
해찬들)사계절쌈장,392,4200
팔도)짜장면(이연복),384,5750
해표)카놀라유,384,5600
단호박,381,1490
양배추,380,4500
사과,380,0
신고배,379,2900
삼립)하이면(삿포로식),372,1450
쌈배추,369,2150
바나나,369,0
롯데)비피더스사과,366,3980
하림)닭가슴살,356,5500
성경)녹차조각김,356,2950
손수)정성가득쌀떡국,352,3150
섬초,348,0
롯데)제크,347,2850
시래기,342,0
깐대파,341,0
종가집)포기김치,332,16800
다원)별미누룽지(12인분),332,5800
아침두부,331,1000
열무,330,5900
칠갑)찰꼬마떡볶이,330,3050
백설)고소한참기름,330,7450
표고버섯,329,0
해)킨사이다,328,2250
동서)맥심모카골드믹스,326,23800
한성)비바크부어스트,326,4650
오)다이제(통밀),325,2950
송학)쌀국수(멸치),325,1550
종가)맛김치,322,4950
백설)토마토소스,322,5980
진주포차순대,320,2980
일회용종이컵1줄,320,650
오리온)후레쉬베리(딸기),319,4600
새송이버섯,319,0
수입대패삼겹살,318,0
녹차콩나물,311,1000
낑깡,306,0
아이순,302,0
명품/톳,302,1590
서울)저지방우유,302,2750
롯데)갸또쇼콜라,299,3950
호박고구마,299,0
1,299,0
코카콜라캔,297,890
진주)줄줄이비엔나,296,6350
삼립)하이면(사누끼식),294,1450
크)뽀또치즈,294,3980
백설)식용유(콩기름),294,5980
한돈다짐육(국내산),290,0
오렌지,290,0
김치사발면번들,286,4500
대림)야채김자반기획,284,2850
블루베리,282,0
롯데)비피더스포도,282,3980
백설)맛밤패밀리팩,282,7950
빙)메로나,281,640
레드글로브,279,0
청정원)크랩봉게살소시지,278,1500
온동네광천파래재래김(전장),278,2550
생선(국내산),272,0
바지락,268,0
칠성)아이시스8.0(대박스)),266,3980
롯)엔네이처프랑크,266,6950
레몬,264,0
단감,263,4500
사조)고추참치기획,262,4750
종가집)맛김치,258,9150
마늘쫑,258,0
한성)미니윈너,258,4350
한돈등심/카레(국내산),258,0
피망,257,0
돼지삼겹살(수입),256,0
삼호)종합어묵(국탕용),252,2800
CJ)주부초밥왕(소풍),251,3750
풀)꽃게짬뽕라면,250,5850
대림)국물떡볶이,250,2550
양파(중),247,4200
청)민속만두,246,4150
한돈오겹살(국내산),246,0
감귤,246,0
