업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
위탁급식영업,2003-05-30,(주)현대그린푸드현대백본점,서울특별시 강남구 압구정로 165 (압구정동),서울특별시 강남구 압구정동 429번지 0호  ,0,    -3449-5882,2010-07-08,6001,135-900,2003-05-30,위탁급식영업
위탁급식영업,2003-06-20,(주)현대그린푸드 기아자동차영업본부지점,서울특별시 강남구 압구정로 417 (압구정동),서울특별시 강남구 압구정동 518번지  ,0,    - 510-9659,2012-02-15,6009,135-906,2003-06-20,위탁급식영업
위탁급식영업,2003-07-04,한국나이스랜드(주), ,서울특별시 강남구 수서동 396번지 0호 지하1층 ,0,    - 579-7007,2003-07-04, ,135-220,2003-07-04,위탁급식영업
위탁급식영업,2003-07-23,(주)이씨엠디,서울특별시 강남구 테헤란로 134 (역삼동),서울특별시 강남구 역삼동 735번지 3호  ,0,    -    -    ,2010-04-15,6235,135-923,2003-07-23,위탁급식영업
위탁급식영업,2003-08-20,(주)현대그린푸드현대백화점무역점,서울특별시 강남구 테헤란로 517 (삼성동),서울특별시 강남구 삼성동 159번지 7호  ,0,    -3467-6471,2010-07-13,6164,135-090,2003-08-20,위탁급식영업
위탁급식영업,2003-08-20,한화호텔앤드리조트(주)국민연금,서울특별시 강남구 도산대로 128 (논현동 국민연금관리공단강남지사),서울특별시 강남구 논현동 4번지 15호 국민연금관리공단강남지사 ,0,    - 729-4047,2016-01-15,6039,135-811,2003-08-21,위탁급식영업
위탁급식영업,2003-08-29,한화호텔앤드리조트(주)갤러리아압구정점,서울특별시 강남구 압구정로 343 (압구정동 갤러리아백화점),서울특별시 강남구 압구정동 494번지 0호 갤러리아백화점 ,377,    - 729-4047,2016-01-15,6008,135-902,2003-08-28,위탁급식영업
위탁급식영업,2003-09-02,삼성웰스토리(주)멀티캠퍼스,서울특별시 강남구 테헤란로 212  19층 (역삼동),서울특별시 강남구 역삼동 718번지 5호 19층 ,110.24,    -3429-5959,2016-02-24,6220,135-920,2015-11-11,위탁급식영업
위탁급식영업,2003-09-25,(주)신세계푸드 스타수퍼,서울특별시 강남구 언주로30길 57 (도곡동 타워팰리스2차지하1층),서울특별시 강남구 도곡동 467번지 17호 타워팰리스2차지하1층 ,0,    -2191-1284,2016-06-29,6293,135-856,2003-09-25,위탁급식영업
위탁급식영업,2003-10-09,(주)이씨엠디이비스호텔,서울특별시 강남구 삼성로 431 (대치동),서울특별시 강남구 대치동 893번지 1호  ,0,    - 567-8361,2010-04-15,6195,135-840,2003-10-09,위탁급식영업
위탁급식영업,2003-10-09,삼성웰스토리(주)삼성서울병원본관,서울특별시 강남구 일원로 81 (일원동  삼성서울병원),서울특별시 강남구 일원동 50번지 삼성서울병원 ,2711,    -    -    ,2016-02-24,6351,135-230,2003-10-09,위탁급식영업
위탁급식영업,2003-10-14,제이제이케터링(주),서울특별시 강남구 도곡로 401 (대치동 롯데백화점강남점),서울특별시 강남구 대치동 937번지 0호 롯데백화점강남점 ,0,    - 531-2780,2015-11-12,6206,135-998,2003-10-14,위탁급식영업
위탁급식영업,2003-10-15,(주)아워홈신한은행강남점,서울특별시 강남구 역삼로 251 (역삼동 조흥은행강남별관9층),서울특별시 강남구 역삼동 731번지 0호 조흥은행강남별관9층 ,0,    - 557-8157,2015-08-27,6225,135-514,2003-10-15,위탁급식영업
위탁급식영업,2003-10-16,(주)아워홈지에스타워점,서울특별시 강남구 논현로 508 (역삼동),서울특별시 강남구 역삼동 679번지 0호  ,0,    -2005-1154,2015-08-27,6141,135-916,2003-10-16,위탁급식영업
