업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
일반음식점,2000-01-03,(주)에땅끌레르,서울특별시 강남구 삼성로 614 (삼성동 지상1 2 3층),서울특별시 강남구 삼성동 70번지 6호 지상1 2 3층 ,295.88,  02- 547-5574,2008-08-18,6085,135-870,2010-06-03,경양식
일반음식점,2000-01-05,아우라,서울특별시 강남구 도산대로45길 10-8 (신사동),서울특별시 강남구 신사동 651번지 8호  ,155.37,  02- 511-0048,2017-03-30,6021,135-897,2000-01-05,경양식
일반음식점,2000-01-05,이즈미,서울특별시 강남구 언주로 849 (신사동 1층),서울특별시 강남구 신사동 622번지 3호 1층 ,300.82,  02- 511-0107,2001-03-02,6023,135-895,2000-01-05,한식
일반음식점,2000-01-06,푸드카페,서울특별시 강남구 테헤란로88길 22  1층 (대치동),서울특별시 강남구 대치동 956번지 6호 1층 ,66.11,  02- 565-4036,2011-11-16,6184,135-847,2000-01-06,분식
일반음식점,2000-01-06,채선당개포점,서울특별시 강남구 개포로82길 7 (개포동 삼성빌딩204 205 206호),서울특별시 강남구 개포동 186번지 12호 삼성빌딩204 205 206호 ,154.8,  02-3411-0274,2010-10-18,6329,135-994,2010-11-24,한식
일반음식점,2000-01-06,포항물회,서울특별시 강남구 역삼로 130 (역삼동 지하1층),서울특별시 강남구 역삼동 834번지 6호 지하1층 ,56,  02- 566-6275,2009-02-05,6250,135-569,2000-01-06,경양식
일반음식점,2000-01-07,선죽전문점,서울특별시 강남구 도곡로 229 (역삼동),서울특별시 강남구 역삼동 786번지 24호  ,76,  02-3452-0580,2004-04-06,6230,135-515,2000-01-07,한식
일반음식점,2000-01-07,국보전,서울특별시 강남구 테헤란로81길 60 (삼성동),서울특별시 강남구 삼성동 152번지 16호  ,118.81,  02- 538-5029,2012-03-23,6166,135-878,2000-01-07,한식
일반음식점,2000-01-07,강진수산수산물직판장,서울특별시 강남구 테헤란로52길 6 (역삼동 지하1층),서울특별시 강남구 역삼동 707번지 38호 지하1층 ,1206.52,  02- 562-1155,2006-01-26,6211,135-918,2000-01-07,일식
일반음식점,2000-01-07,한옥집 김치찜,서울특별시 강남구 언주로148길 6 (논현동),서울특별시 강남구 논현동 98번지 6호  ,138.68,  02-3426-6131,2015-11-11,6057,135-819,2000-01-07,일식
일반음식점,2000-01-07,닛코참치,서울특별시 강남구 강남대로114길 16 (논현동 지상1층),서울특별시 강남구 논현동 198번지 8호 지상1층 ,107.73,  02-    -    ,2010-04-21,6120,135-827,2003-08-12,경양식
일반음식점,2000-01-07,처음,서울특별시 강남구 논현로102길 3  지하1층 (역삼동),서울특별시 강남구 역삼동 659번지 10호  ,201.66,  02- 552-4256,2016-08-22,6136,135-913,2000-01-07,경양식
