업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
일반음식점,1997-02-05,배초향,서울특별시 강남구 도산대로55길 20 (청담동),서울특별시 강남구 청담동 88번지 5호  ,0,--,2004-04-16,6014,135-954,1997-02-05,한식
일반음식점,1999-10-08,바지노(Barsino),서울특별시 강남구 역삼로3길 12 (역삼동),서울특별시 강남구 역삼동 830번지 31호  ,113.39,  02-    -    ,2016-03-18,6243,135-936,1999-10-08,한식
일반음식점,1911-05-28,골목식당,서울특별시 강남구 압구정로79길 47 (청담동),서울특별시 강남구 청담동 126번지 6호  ,90.75,  02-0545-7217,2014-11-10,6013,135-957,1992-11-06,한식
일반음식점,1976-02-28,황제,서울특별시 강남구 테헤란로10길 16 (역삼동),서울특별시 강남구 역삼동 823번지 20호  ,103.38,  02- 566-2104,2015-10-08,6234,135-933,1976-02-28,중국식
일반음식점,1976-07-24,용삼계탕,서울특별시 강남구 학동로4길 8 (논현동),서울특별시 강남구 논현동 141번지 17호  ,39.26,  02-0540-4587,2006-01-13,6110,135-822,1976-07-24,한식
일반음식점,1976-12-23,원해분식,서울특별시 강남구 강남대로 620 (신사동),서울특별시 강남구 신사동 502번지 11호  ,50.24,  02-0000-0000,1996-01-19,6035,135-887,1976-12-23,한식
일반음식점,1977-10-20,희래등,서울특별시 강남구 테헤란로27길 8 (역삼동 2층 3층),서울특별시 강남구 역삼동 678번지 23호 2층 3층 ,377.42,  02-0585-9089,2006-06-28,6141,135-915,2010-05-06,중국식
일반음식점,1977-06-17,새로나치킨,서울특별시 강남구 도산대로 522 (청담동),서울특별시 강남구 청담동 50번지 2호  ,37.44,  02-0548-9666,2011-06-15,6070,135-952,1994-06-24,한식
일반음식점,1978-10-06,취화선,서울특별시 강남구 삼성로 324 (대치동),서울특별시 강남구 대치동 974번지 1호  ,39.54,  02- 508-0409,2005-11-03,6191,135-842,1978-10-06,중국식
일반음식점,1978-10-17,삼성식당,서울특별시 강남구 테헤란로27길 12 (역삼동),서울특별시 강남구 역삼동 678번지 11호  ,49.24,  02-0544-9789,1978-10-17,6141,135-915,1978-10-17,한식
일반음식점,1978-06-10,향촌면옥,서울특별시 강남구 압구정로29길 72-1  지상1층 B2호 (압구정동),서울특별시 강남구 압구정동 454번지  ,67.75,  02-0546-7542,1978-06-10,6004,135-903,2017-03-30,한식
일반음식점,1978-12-15,미스터피자선릉역점,서울특별시 강남구 선릉로 435 (역삼동),서울특별시 강남구 역삼동 708번지 7호  ,81.75,  02-0555-7145,2009-09-11,6212,135-919,1978-12-15,한식
일반음식점,1978-08-28,우신설농탕,서울특별시 강남구 도산대로 113 (신사동),서울특별시 강남구 신사동 513번지 4호  ,70.46,010 -3561-5209,2013-07-04,6035,135-887,1978-08-28,한식
일반음식점,1979-08-18,송원, ,서울특별시 강남구 대치동 626번지 205호  ,187.15,  02-    -    ,2010-12-27, ,135-838,1979-08-18,중국식
일반음식점,1979-09-04,진가방,서울특별시 강남구 영동대로96길 37 (삼성동),서울특별시 강남구 삼성동 166번지 8호  ,130.25,  02-    -    ,2016-03-15,6172,135-881,1979-09-04,한식
일반음식점,1979-03-22,김씨네,서울특별시 강남구 영동대로 510 (삼성동),서울특별시 강남구 삼성동 168번지 0호  ,45.74,  02-0557-3965,2016-07-21,6173,135-882,1979-03-22,한식
일반음식점,1980-12-23,삼해정, ,서울특별시 강남구 대치동 280번지 4호  ,20,  02-   0-0000,1980-12-23, ,135-835,1980-12-23,전통찻집
일반음식점,1980-08-22,캔모아 양재점,서울특별시 강남구 남부순환로359길 4 (도곡동),서울특별시 강남구 도곡동 959번지 22호  ,92.88,  02-0553-4505,2009-07-09,6268,135-861,1980-08-22,경양식
일반음식점,1980-08-13,고향집,서울특별시 강남구 봉은사로37길 14 (논현동),서울특별시 강남구 논현동 237번지 0호  ,48.18,  02- 547-4301,2003-05-23, ,135-831,1980-08-13,중국식
일반음식점,1980-09-24,장독대김치찌개,서울특별시 강남구 도산대로 540 (청담동),서울특별시 강남구 청담동 52번지 6호  ,108.58,  02-0543-7754,2004-06-08,6071,135-952,1980-09-24,한식
일반음식점,1981-11-06,삼원가든,서울특별시 강남구 언주로 835 (신사동  5 8),서울특별시 강남구 신사동 623번지 4호  5 8 ,887.09,  02- 544-5351,1995-03-18,6023,135-120,1981-11-06,한식
일반음식점,1981-12-05,마미치킨,서울특별시 강남구 삼성로 212  A-동 110호 (대치동 은마상가),서울특별시 강남구 대치동 316번지 0호 은마상가 A-동 110호,27,  02- 557-1408,1997-01-22,6284,135-969,1981-12-05,한식
일반음식점,1981-03-31,애주의집, ,서울특별시 강남구 대치동 276번지 14호 은마상가 115호,27.84,  02-0552-4810,1981-03-31, ,135-969,1981-03-31,분식
일반음식점,1981-06-11,마산집,서울특별시 강남구 강남대로152길 9 (신사동),서울특별시 강남구 신사동 512번지 20호  ,103.59,  02- 544-7207,1981-06-11,6035,135-887,1981-06-11,한식
일반음식점,1981-05-26,벨버드,서울특별시 강남구 영동대로 647 (삼성동  3),서울특별시 강남구 삼성동 58번지 2호  3 ,213.71,  02-    -    ,2002-09-28,6085,135-090,1981-05-25,경양식
일반음식점,1981-01-29,연탄돼지갈비 역삼점,서울특별시 강남구 논현로 333 (역삼동),서울특별시 강남구 역삼동 797번지 4호  ,28.8,  02- 567-7868,2014-06-24,6248,135-930,1981-01-29,한식
일반음식점,1981-12-03,요거프레소 양재점,서울특별시 강남구 남부순환로359길 4 (도곡동 (양재동8-17에서이전)),서울특별시 강남구 도곡동 959번지 22호 (양재동8-17에서이전) ,20.7,  02-3462-2261,2013-12-18,6268,135-861,1981-12-03,한식
일반음식점,1981-07-31,일미쌈밥,서울특별시 강남구 봉은사로114길 42 (삼성동),서울특별시 강남구 삼성동 166번지 6호  ,45.37,  02-0000-0000,1995-03-29,6172,135-881,1981-07-31,한식
일반음식점,1981-09-10,영광,서울특별시 강남구 압구정로 216 (신사동),서울특별시 강남구 신사동 615번지 1호  ,17.72,  02-0547-5139,2002-05-08,6023,135-894,1994-05-20,한식
일반음식점,1981-07-03,산곰장어,서울특별시 강남구 언주로 605 (논현동),서울특별시 강남구 논현동 237번지 5호  ,52.56,  02- 547-1437,2016-07-05,6109,135-831,1981-07-03,한식
일반음식점,1981-03-17,치킨뱅이,서울특별시 강남구 언주로 534 (역삼동),서울특별시 강남구 역삼동 689번지 7호  ,41.84,  02- 566-7908,2007-05-09,6147,135-917,1981-03-17,한식
일반음식점,1981-05-22,신흥식당,서울특별시 강남구 역삼로 406 (대치동 외1필지지상1층102호),서울특별시 강남구 대치동 908번지 2호 외1필지지상1층102호 ,52.07,  02-0567-1204,2003-12-30,6199,135-841,2004-01-08,한식
일반음식점,1981-12-17,육육삼육,서울특별시 강남구 강남대로150길 4 (논현동),서울특별시 강남구 논현동 17번지 1호  ,73.84,02  -543 -8895,2016-11-01,6038,135-811,1981-12-17,한식
일반음식점,1981-08-11,현대이모네2,서울특별시 강남구 봉은사로114길 42 (삼성동),서울특별시 강남구 삼성동 166번지 6호  ,111.95,  02- 566-4807,2016-10-13,6172,135-881,1981-08-11,한식
일반음식점,1982-09-14,이동분식쎈타, ,서울특별시 강남구 역삼동 721번지 24호  ,24.74,  02- 556-4723,1982-09-14, ,135-920,1982-09-14,한식
일반음식점,1982-03-29,진선미, ,서울특별시 강남구 대치동 131번지 0호 은마    2동  219호,30.55,  02-   0-0000,1982-03-29, ,135-280,1982-03-29,전통찻집
일반음식점,1982-09-03,광장,서울특별시 강남구 선릉로 326 (대치동),서울특별시 강남구 대치동 922번지 0호  ,57.8,  02-0557-3318,1985-08-22,6205,135-843,1982-09-03,분식
일반음식점,1982-11-16,삼일분식, ,서울특별시 강남구 개포동 0번지  ,22.08,  02-0000-0000,1982-11-16, ,135-240,1982-11-16,분식
일반음식점,1982-11-10,정육점식당,서울특별시 강남구 밤고개로31길 9 (세곡동),서울특별시 강남구 세곡동 96번지 2호  ,32.54,  02- 459-8187,1982-11-10,6378,135-190,1982-11-10,분식
일반음식점,1982-09-04,페리카나,서울특별시 강남구 밤고개로34길 4 (세곡동),서울특별시 강남구 세곡동 124번지 2호  ,25.26,  02- 575-7129,2006-02-27,6365,135-190,1982-09-04,분식
일반음식점,1982-09-08,불로만치킨,서울특별시 강남구 밤고개로34길 4  지상1층 8호 (세곡동),서울특별시 강남구 세곡동 124번지 2호  ,49.58,  02- 400-9406,2016-08-23,6365,135-190,2008-11-06,분식
일반음식점,1982-10-05,박용석스시,서울특별시 강남구 학동로2길 28 (논현동),서울특별시 강남구 논현동 143번지 3호  ,33.95,  02-3446-4605,2016-12-02,6114,135-825,2001-07-25,한식
일반음식점,1982-08-21,목련식당,서울특별시 강남구 도산대로30길 15 (논현동 지상1층),서울특별시 강남구 논현동 65번지 17호 지상1층 ,100.06,  02-0548-6688,1990-08-02,6049,135-816,2003-10-11,경양식
일반음식점,1982-02-08,국빈반점,서울특별시 강남구 테헤란로2길 21  1층 101 103 105호 (역삼동),서울특별시 강남구 역삼동 825번지 27호 1층 101 103 105호 ,124,  02- 566-4531,2016-05-27,6232,135-934,2014-06-03,중국식
일반음식점,1982-04-20,청담면옥,서울특별시 강남구 선릉로 664 (삼성동),서울특별시 강남구 삼성동 8번지 1호  ,61.12,  02-   0-0000,2014-03-18,6088,135-864,1982-04-20,한식
일반음식점,1982-07-09,두루치기 유선생,서울특별시 강남구 봉은사로114길 42 (삼성동),서울특별시 강남구 삼성동 166번지 6호  ,52.26,  02-0000-0000,2015-10-13,6172,135-881,1982-07-09,한식
일반음식점,1982-07-26,국대떡볶이강남구청역점,서울특별시 강남구 학동로56길 32 (삼성동),서울특별시 강남구 삼성동 9번지 6호  ,45.57,010 -8746-2722,2014-01-09,6092,135-864,1982-07-26,한식
일반음식점,1982-11-09,삼환,서울특별시 강남구 영동대로112길 10 (삼성동 외2필지),서울특별시 강남구 삼성동 107번지 5호 외2필지 ,212.33,  02- 546-2429,2007-08-31,6083,135-873,1999-09-20,한식
일반음식점,1982-12-08,아우토반,서울특별시 강남구 영동대로 510 (삼성동),서울특별시 강남구 삼성동 168번지 0호  ,125.61,  02- 556-9987,2013-12-18,6173,135-882,1982-12-08,호프/통닭
일반음식점,1982-09-04,봉림장,서울특별시 강남구 밤고개로34길 4 (세곡동),서울특별시 강남구 세곡동 124번지 2호  ,23.94,  02-0574-7505,2011-09-27,6365,135-190,1982-09-04,한식
일반음식점,1982-11-05,남주식당,서울특별시 강남구 밤고개로31길 9 (세곡동),서울특별시 강남구 세곡동 99번지 11호  ,25.04,  02-0573-0076,2010-03-12,6378,135-190,1982-11-05,한식
일반음식점,1982-11-05,해품달,서울특별시 강남구 밤고개로31길 9  지상1층 12호 (세곡동  취락구조),서울특별시 강남구 세곡동 96번지 1호  ,27.03,  02-0577-2421,2012-01-31,6378,135-190,2011-04-13,한식
일반음식점,1982-05-19,카페드엠,서울특별시 강남구 강남대로 506 (논현동),서울특별시 강남구 논현동 164번지 11호  ,30.4,  02- 548-5578,2013-06-17,6114,135-825,1982-05-19,분식
일반음식점,1982-03-03,일일식당,서울특별시 강남구 압구정로 216 (신사동),서울특별시 강남구 신사동 615번지 1호  ,43.1,  02-0547-7515,1988-03-25,6023,135-894,1994-05-20,한식
일반음식점,1982-05-08,용무있습니까,서울특별시 강남구 강남대로 632 (신사동),서울특별시 강남구 신사동 503번지 2호  ,59.66,  02- 547-1824,2017-02-10,6034,135-887,1982-08-08,한식
일반음식점,1982-04-21,60년 전통 신촌 황소곱창,서울특별시 강남구 강남대로128길 10 (논현동),서울특별시 강남구 논현동 144번지 0호  ,78.49,  02- 546-1808,2016-06-08,6114,135-825,1982-04-21,한식
일반음식점,1982-06-25,마포갈비,서울특별시 강남구 학동로2길 29 (논현동),서울특별시 강남구 논현동 144번지 1호  ,50.75,  02- 548-8970,2014-06-18,6114,135-825,1982-06-25,한식
일반음식점,1982-10-16,삼미,서울특별시 강남구 학동로2길 30 (논현동),서울특별시 강남구 논현동 143번지 10호  ,66.59,  02- 549-9485,2010-07-29,6114,135-825,1982-10-16,한식
일반음식점,1982-01-22,미스터 돌쇠,서울특별시 강남구 봉은사로114길 42 (삼성동),서울특별시 강남구 삼성동 166번지 6호  ,37.38,  02-0000-0000,2017-01-10,6172,135-881,1982-01-22,한식
일반음식점,1983-10-06,코스모스(서울7거8638),서울특별시 강남구 도곡로 331 (역삼동),서울특별시 강남구 역삼동 765번지 17호  ,19.2,  02- 558-5469,2005-03-25,6218,135-927,1983-10-06,이동조리
일반음식점,1983-10-17,사랑의집,서울특별시 강남구 삼성로 212 (대치동 은마상가 A브럭 7-6),서울특별시 강남구 대치동 316번지 0호 은마상가 A브럭 7-6 ,20.16,  02-0567-0651,1984-11-24,6284,135-969,1983-10-17,한식
일반음식점,1983-07-15,미소야,서울특별시 강남구 영동대로 219 (대치동),서울특별시 강남구 대치동 994번지 16호  ,57.74,  02- 562-6592,2009-02-19,6283,135-501,1983-07-15,분식
일반음식점,1983-06-20,파란하늘,서울특별시 강남구 압구정로 338  지상1층 (신사동),서울특별시 강남구 신사동 661번지 1호  ,18.2,  02- 547-6238,2015-11-20,6018,135-897,1983-06-20,분식
