업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
제과점영업,1983-08-05,삼정제과,서울특별시 강남구 봉은사로 150 (역삼동),서울특별시 강남구 역삼동 604번지 11호  ,52.3,  02-0557-1221,2005-07-19,6125,135-907,1983-08-05,제과점영업
제과점영업,1984-09-27,빵굼터 착한빵집,서울특별시 강남구 역삼로 452 (대치동),서울특별시 강남구 대치동 911번지 13호  ,44.92,  02- 553-5806,2001-03-28,6201,135-841,1984-09-27,제과점영업
제과점영업,1985-08-28,이조명과,서울특별시 강남구 강남대로124길 39 (논현동 (논현동159-3에서2000.8.31이전)),서울특별시 강남구 논현동 146번지 15호 (논현동159-3에서2000.8.31이전) ,39.6,  02- 547-1732,1991-12-30,6114,135-825,1985-08-28,제과점영업
제과점영업,1986-08-04,로베쟈빵,서울특별시 강남구 역삼로 530 (대치동 (대치동903-29.30에서이전)),서울특별시 강남구 대치동 965번지 16호 (대치동903-29.30에서이전) ,29.79,  02- 562-2200,2015-01-23,6186,135-848,1986-08-04,제과점영업
제과점영업,1986-12-03,파리크라상압구정점,서울특별시 강남구 압구정로 334 (신사동 104.105.106.205.206호),서울특별시 강남구 신사동 660번지 8호 104.105.106.205.206호 ,171.92,  02- 542-4040,2016-11-25,6018,135-897,1986-12-03,제과점영업
제과점영업,1987-04-20,청담윈,서울특별시 강남구 삼성로 719 (청담동 지상1층 지상2층),서울특별시 강남구 청담동 31번지 14호 지상1층 지상2층 ,310.71,  02- 546-1585,2013-09-23,6067,135-950,2004-11-08,제과점영업
제과점영업,1987-12-24,명장김종익제과,서울특별시 강남구 압구정로 201 (압구정동 외8필지(금강쇼핑센타1층)),서울특별시 강남구 압구정동 456번지 0호 외8필지(금강쇼핑센타1층) ,66,    -    -    ,1987-12-24,6004,135-510,1987-12-24,제과점영업
제과점영업,1988-03-21,파리바게뜨,서울특별시 강남구 개포로110길 15 (일원동),서울특별시 강남구 일원동 615번지  ,70.2,  02- 554-4715,1999-03-30,6337,135-944,1988-03-21,제과점영업
제과점영업,1988-01-22,베이크하우스,서울특별시 강남구 학동로101길 26 (청담동),서울특별시 강남구 청담동 134번지 20호  ,38.42,  02- 543-7881,2005-07-06,6077,135-958,1988-01-22,제과점영업
제과점영업,1988-10-04,카페31코엑스점,서울특별시 강남구 테헤란로 521  14호 (삼성동 무역센타아),서울특별시 강남구 삼성동 159번지 8호 무역센타아   14호,154.81,  02- 553-2564,2007-08-14,6164,135-090,1988-10-04,제과점영업
제과점영업,1989-05-02,여명,서울특별시 강남구 남부순환로 3032  1층동 (대치동 한보 미도상가),서울특별시 강남구 대치동 511번지 0호 한보 미도상가 1층동 ,40.31,  02-0562-0033,2006-01-24, ,135-837,1989-05-02,제과점영업
제과점영업,1989-10-18,케익하우스엠마,서울특별시 강남구 남부순환로 3032  1층동 (대치동),서울특별시 강남구 대치동 511번지 0호  1층동 ,40.28,  02- 562-9886,1996-11-08, ,135-280,1989-10-18,제과점영업
제과점영업,1990-03-29,파리바게트 강남구청센터점,서울특별시 강남구 선릉로 659  1층 (논현동  가현빌딩),서울특별시 강남구 논현동 242번지 53호  ,295.67,  02- 545-7356,2015-12-29,6099,135-830,2015-04-10,제과점영업
제과점영업,1990-12-17,파리바게트,서울특별시 강남구 영동대로 219 (대치동),서울특별시 강남구 대치동 994번지 16호  ,34.44,  02- 566-0960,1997-12-30,6283,135-501,1990-12-17,제과점영업
제과점영업,1993-12-13,파리바게뜨,서울특별시 강남구 강남대로66길 8 (역삼동),서울특별시 강남구 역삼동 837번지 2호  ,90.71,  02- 501-5225,2001-07-05,6253,135-937,1993-12-13,제과점영업
제과점영업,1994-05-14,빵굼터 착한 빵집,서울특별시 강남구 광평로51길 27 (수서동 4단지상가102호),서울특별시 강남구 수서동 708번지 0호 4단지상가102호 ,23.46,  02- 459-0882,2000-08-16,6347,135-884,1994-05-14,제과점영업
제과점영업,1994-08-04,한재용 베이커리,서울특별시 강남구 도곡로22길 5 (도곡동),서울특별시 강남구 도곡동 544번지 13호  ,74.41,  02-0501-9227,2011-09-23,6261,135-857,1994-08-04,제과점영업
제과점영업,1995-03-09,파리바게트(청담사거리점),서울특별시 강남구 도산대로 522 (청담동 지상1층),서울특별시 강남구 청담동 50번지 2호 지상1층 ,29,  02- 549-3066,2009-11-13,6070,135-952,2007-01-23,제과점영업
제과점영업,1997-12-16,파리바게뜨 양재본점,서울특별시 강남구 남부순환로 2627  지하1층 지상1~3층 (도곡동),서울특별시 강남구 도곡동 959번지 36호  ,352.64,  02-3461-9191,2016-11-23,6268,135-861,2016-07-28,제과점영업
제과점영업,1998-11-23,파리바게뜨,서울특별시 강남구 도산대로 133 (신사동),서울특별시 강남구 신사동 537번지 8호  ,115.5,  02-3445-1977,2000-03-20,6035,135-889,1998-11-23,제과점영업
제과점영업,1998-12-18,아미가아마도르,서울특별시 강남구 언주로 563 (역삼동),서울특별시 강남구 역삼동 653번지 4호  ,50.91,  02-3404-1581,2007-03-19,6135,135-913,1998-12-18,제과점영업
제과점영업,1998-08-31,정일품디저트,서울특별시 강남구 선릉로130길 56 (삼성동),서울특별시 강남구 삼성동 5번지 1호  ,27.3,010 -3645-7071,2013-07-12,6089,135-863,1998-08-31,제과점영업
제과점영업,1998-09-01,파리바게뜨(언주역점),서울특별시 강남구 논현로 604 (논현동),서울특별시 강남구 논현동 234번지 28호  ,83,  02- 547-0482,1998-09-01,6109,135-830,1998-09-01,제과점영업
제과점영업,1998-01-24,파리바게뜨 (역삼특허청점),서울특별시 강남구 테헤란로8길 22 (역삼동 지상1층),서울특별시 강남구 역삼동 824번지 29호 지상1층 ,91.84,  02- 579-8202,2014-11-24,6233,135-934,2006-01-13,제과점영업
제과점영업,1998-06-25,파리바게뜨논현경복점,서울특별시 강남구 언주로114길 23 (논현동),서울특별시 강남구 논현동 273번지 14호  ,52.8,  02- 541-3040,2002-03-18,6102,135-833,1998-06-25,제과점영업
제과점영업,1998-07-09,피자아이,서울특별시 강남구 언주로 508 (역삼동 상록회관),서울특별시 강남구 역삼동 701번지 0호 상록회관 ,33.51,  02- 558-7776,1998-07-09,6152,135-513,1998-07-09,제과점영업
제과점영업,1999-04-07,파리바게트(강남영동점),서울특별시 강남구 강남대로 532 (논현동 지상1층),서울특별시 강남구 논현동 143번지 0호 지상1층 ,114.18,02  -3452-7491,2015-01-08,6114,135-825,2003-09-17,제과점영업
제과점영업,1999-04-08,파리바게뜨,서울특별시 강남구 남부순환로378길 8 (도곡동),서울특별시 강남구 도곡동 419번지 0호  ,87,  02- 578-0243,1999-04-08,6296,135-854,1999-04-08,제과점영업
제과점영업,1999-05-26,파리바게트개포점,서울특별시 강남구 개포로82길 13-9 (개포동 지상1),서울특별시 강남구 개포동 186번지 4호 지상1 ,58.59,  02- 451-2296,2005-08-04,6329,135-994,1999-05-26,제과점영업
제과점영업,1999-06-04,던킨도너츠,서울특별시 강남구 영동대로 221 (대치동 1층),서울특별시 강남구 대치동 994번지 8호 1층 ,37.83,  02- 557-3733,1999-06-04,6283,135-501,1999-06-04,제과점영업
제과점영업,1999-06-18,비엔나제과점,서울특별시 강남구 논현로175길 46 (신사동 지상1층),서울특별시 강남구 신사동 574번지 6호 지상1층 ,103.68,  02- 547-3569,1999-06-18,6030,135-891,1999-06-18,제과점영업
제과점영업,1999-07-16,밀크앤허니 역삼점(지하2),서울특별시 강남구 역삼로 310  지하2층 (역삼동),서울특별시 강남구 역삼동 755번지  ,142,  02- 569-6396,2016-04-11,6217,135-926,1999-07-16,제과점영업
제과점영업,1999-08-20,떡담,서울특별시 강남구 삼성로 212 (대치동 은마상가에이블럭124호),서울특별시 강남구 대치동 316번지 0호 은마상가에이블럭124호 ,42,  02- 562-9588,2010-12-20,6284,135-969,1999-08-20,제과점영업
제과점영업,1999-10-06,크라운베이커리,서울특별시 강남구 논현로 421 (역삼동 1층),서울특별시 강남구 역삼동 738번지 30호 1층 ,26.66,  02- 554-9700,2001-05-24,6237,135-924,1999-10-06,제과점영업
제과점영업,1999-10-11,에이원베이커리,서울특별시 강남구 강남대로120길 46 (논현동 지상1층),서울특별시 강남구 논현동 181번지 7호 지상1층 ,36.4,  02- 512-7496,1999-10-16,6119,135-827,2001-08-20,제과점영업
제과점영업,1999-09-17,(주)현대그린푸드베즐리압구정점,서울특별시 강남구 압구정로 165 (압구정동 현대백화점지하1층1호),서울특별시 강남구 압구정동 429번지 0호 현대백화점지하1층1호 ,62.8,  02-    -    ,2011-07-08,6001,135-900,1999-09-17,제과점영업
제과점영업,2000-12-09,김영모과자점,서울특별시 강남구 언주로30길 10 (도곡동 현대비젼상가지상1층101-1호지상2층204 205호),서울특별시 강남구 도곡동 467번지 19호 현대비젼상가지상1층101-1호지상2층204 205호 ,338.06,  02-3460-2005,2000-12-09,6295,135-856,2004-01-14,제과점영업
제과점영업,2000-01-13,페르에피스,서울특별시 강남구 언주로30길 10 (도곡동 현대비전21상가111),서울특별시 강남구 도곡동 467번지 19호 현대비전21상가111 ,49.92,  02-    -    ,2005-04-11,6295,135-972,2000-01-13,제과점영업
제과점영업,2001-05-12,파리바게뜨수서역점,서울특별시 강남구 광평로 280 (수서동 로즈데일빌딩1층11호),서울특별시 강남구 수서동 724번지 0호 로즈데일빌딩1층11호 ,99.17,  02- 740-5500,2016-11-23,6367,135-885,2001-05-12,제과점영업
제과점영업,2001-05-17,밀크앤 허니(수서점),서울특별시 강남구 광평로 280  지하1층 (수서동  로즈데일빌딩),서울특별시 강남구 수서동 724번지  ,117.15,  02- 771-0500,2016-04-15,6367,135-885,2001-05-17,제과점영업
제과점영업,2001-05-21,아카페과자점,서울특별시 강남구 개포로82길 13-11 (개포동 정우빌딩지상1층105호),서울특별시 강남구 개포동 186번지 5호 정우빌딩지상1층105호 ,32.2,  02-3411-9119,2001-05-21,6329,135-994,2001-05-21,제과점영업
제과점영업,2001-07-03,파리바게뜨 한티역점,서울특별시 강남구 선릉로64길 24  지상1층 (대치동),서울특별시 강남구 대치동 935번지 지상1층 ,114.48,  02- 555-9133,2002-04-22,6207,135-998,2015-04-23,제과점영업
제과점영업,2001-09-19,빠나미제과, ,서울특별시 강남구 삼성동 159번지 9호 도심공항타워 B2-08 ,33.05,  02-2016-6666,2003-08-02, ,135-090,2001-09-19,제과점영업
제과점영업,2001-11-08,던킨도너츠대치2호점,서울특별시 강남구 도곡로 441 (대치동 1층103호),서울특별시 강남구 대치동 940번지 9호 1층103호 ,42.97, 011-9056-8536,2001-11-08,6208,135-999,2001-11-08,제과점영업
제과점영업,2001-11-24,파스텔드나따(압구정점),서울특별시 강남구 압구정로48길 15 (신사동 상가1층 102호),서울특별시 강남구 신사동 659번지 0호 상가1층 102호 ,26.4,  02- 548-7960,2016-09-28,6018,135-897,2001-11-24,제과점영업
제과점영업,2001-12-26,라임케?전문점,서울특별시 강남구 논현로64길 22 (역삼동 지상1층),서울특별시 강남구 역삼동 787번지 1호 지상1층 ,36.2,  02- 567-7780,2001-12-26,6231,135-515,2001-12-26,제과점영업
제과점영업,2002-04-12,파리바게트강남교보점, ,서울특별시 강남구 역삼동 808번지 4호 지상1층 ,26.44, 011- 338-8446,2002-04-12, ,135-931,2002-04-12,제과점영업
제과점영업,2002-05-27,이승남의꽃과빵,서울특별시 강남구 압구정로29길 68  1동 지하1층 3호 (압구정동  주구상가),서울특별시 강남구 압구정동 455번지 주구상가 1동 지하3호 ,59,  02- 516-3971,2002-05-27,6004,135-903,2014-09-12,제과점영업
제과점영업,2002-07-10,빠리바게트,서울특별시 강남구 삼성로85길 11 (대치동 롯데캐슬상가3호 지하1층),서울특별시 강남구 대치동 893번지 0호 롯데캐슬상가3호 지하1층 ,51.13,  02- 568-1369,2004-02-24,6195,135-840,2002-07-10,제과점영업
제과점영업,2002-01-04,파리바게뜨대치행복점,서울특별시 강남구 도곡로84길 6 (대치동 지상1층),서울특별시 강남구 대치동 989번지 10호 지상1층 ,100.93,  02- 510-0464,2006-05-03,6282,135-501,2002-01-04,제과점영업
제과점영업,2002-02-25,호산나팡,서울특별시 강남구 언주로125길 11 (논현동 지상1층),서울특별시 강남구 논현동 217번지 39호 지상1층 ,26.4,    -    -    ,2002-02-25,6106,135-829,2002-02-25,제과점영업
제과점영업,2002-08-06,파티스리본누벨,서울특별시 강남구 압구정로46길 17 (신사동 지상1층),서울특별시 강남구 신사동 641번지 1호 지상1층 ,138.8,    - 512-7337,2002-08-06,6017,135-896,2002-08-06,제과점영업
제과점영업,2002-08-12,아마폴라,서울특별시 강남구 도산대로 313 (신사동 영부빌딩1층),서울특별시 강남구 신사동 630번지 31호 영부빌딩1층 ,111.57,  02- 515-6208,2002-08-12,6021,135-895,2002-08-12,제과점영업
제과점영업,2002-08-13,파리바게뜨강남구청역점,서울특별시 강남구 학동로 339 (논현동 지상1층),서울특별시 강남구 논현동 118번지 17호 지상1층 ,66.11, 016- 218-4023,2015-03-20,6060,135-821,2002-08-13,제과점영업
제과점영업,2003-01-25,블랑제리(도곡점),서울특별시 강남구 언주로30길 57  지하1층 (도곡동  타워팰리스2차 ),서울특별시 강남구 도곡동 467번지 17호  ,110.2,    -2191-1262,2016-05-09,6293,135-856,2003-01-25,제과점영업
제과점영업,2003-01-25,지니졸리,서울특별시 강남구 일원로 90 (일원동),서울특별시 강남구 일원동 713번지 0호  ,167.5,    - 451-2008,2006-05-30,6350,135-942,2003-01-25,제과점영업
제과점영업,2003-02-06,엠마,서울특별시 강남구 테헤란로 152 (역삼동 스타타워지하2층7A),서울특별시 강남구 역삼동 737번지 0호 스타타워지하2층7A ,92.4,    -2112-2939,2003-02-06,6236,135-924,2003-02-06,제과점영업
제과점영업,2003-04-12,아미산,서울특별시 강남구 언주로30길 57 (도곡동 타워팰리스2차지하1층),서울특별시 강남구 도곡동 467번지 17호 타워팰리스2차지하1층 ,9.91,    -2191-1203,2003-04-12,6293,135-856,2003-04-12,제과점영업
제과점영업,2003-06-26,나폴레옹과자점,서울특별시 강남구 압구정로30길 51 (신사동  600-1번지지상1층101호),서울특별시 강남구 신사동 600번지  600-1번지지상1층101호 ,131.22,    -3445-5566,2006-06-30,6025,135-120,2003-06-26,제과점영업
제과점영업,2003-09-19,아도로,서울특별시 강남구 강남대로128길 4 (논현동 지하1층),서울특별시 강남구 논현동 143번지 1호 지하1층 ,62.81,    - 556-4841,2011-06-03,6114,135-825,2003-09-19,제과점영업
제과점영업,2003-09-19,베즐리베이커리무역점,서울특별시 강남구 테헤란로 517 (삼성동 지하1층),서울특별시 강남구 삼성동 159번지 7호 지하1층 ,85.8,    -3467-6041,2011-07-08,6164,135-090,2003-09-19,제과점영업
제과점영업,2003-10-17,앤티앤스,서울특별시 강남구 테헤란로 517 (삼성동 지하1층),서울특별시 강남구 삼성동 159번지 7호 지하1층 ,11.23,02  -587 -0955,2016-09-23,6164,135-090,2003-10-17,제과점영업
제과점영업,2004-02-21,뚜레쥬르,서울특별시 강남구 논현로 409 (역삼동 백남빌딩1층),서울특별시 강남구 역삼동 747번지 26호 백남빌딩1층 ,72.72, 017- 228-6660,2004-02-21,6247,135-925,2004-02-21,제과점영업
제과점영업,2004-02-25,레브,서울특별시 강남구 광평로9길 34 (일원동 푸른마을(아)상가지상1층102호),서울특별시 강남구 일원동 719번지 0호 푸른마을(아)상가지상1층102호 ,39.6,    - 459-1138,2007-03-02, ,135-942,2004-02-25,제과점영업
제과점영업,2004-05-18,파리바게뜨강남구청카페점,서울특별시 강남구 학동로 421 (청담동 원영빌딩지상1층),서울특별시 강남구 청담동 44번지 20호 원영빌딩지상1층 ,99.17,    - 516-8248,2014-03-19,6069,135-951,2004-05-18,제과점영업
제과점영업,2004-06-18,코핀느,서울특별시 강남구 언주로30길 57 (도곡동 타워팰리스2차지하1층신세계스타슈퍼),서울특별시 강남구 도곡동 467번지 17호 타워팰리스2차지하1층신세계스타슈퍼 ,2.5,    -2191-1295,2004-06-18,6293,135-856,2004-06-18,제과점영업
제과점영업,2004-09-01,뚜레쥬르포이점,서울특별시 강남구 개포로 230 (개포동 지상1층),서울특별시 강남구 개포동 1217번지 1호 지상1층 ,74.38,  02- 578-0049,2004-09-01,6308,135-962,2004-09-01,제과점영업
제과점영업,2005-03-02,한스케?,서울특별시 강남구 삼성로 151 (대치동 선경상가지상1층106호),서울특별시 강남구 대치동 506번지 0호 선경상가지상1층106호 ,36.36,  02- 566-2133,2005-03-02,6291,135-836,2005-03-02,제과점영업
제과점영업,2005-06-08,파리바게뜨강남삼성점,서울특별시 강남구 삼성로 575  지상1층 (삼성동),서울특별시 강남구 삼성동 119번지 2호 지상1층 ,72.72,010 -9940-6704,2013-04-04,6154,135-509,2005-06-08,제과점영업
제과점영업,2005-06-22,파리바게뜨 강남포이점,서울특별시 강남구 개포로 209 (개포동 1층),서울특별시 강남구 개포동 1246번지 1호 1층 ,111.54,  02- 578-8100,2016-12-28,6303,135-965,2009-10-06,제과점영업
제과점영업,2005-06-28,파리바게뜨청담점,서울특별시 강남구 학동로87길 9 (청담동),서울특별시 강남구 청담동 65번지 0호  ,42.25,  02- 516-0448,2014-05-27,6074,135-953,2005-06-28,제과점영업
제과점영업,2005-07-11,까페 이에나파이,서울특별시 강남구 도산대로50길 9 (논현동 102호),서울특별시 강남구 논현동 95번지 0호 102호 ,52.89,  02- 515-0427,2015-08-19,6055,135-819,2005-07-11,제과점영업
제과점영업,2005-08-05,파리크라상도곡점,서울특별시 강남구 언주로30길 27 (도곡동 우성리빙텔지상1층101-1호),서울특별시 강남구 도곡동 467번지 10호 우성리빙텔지상1층101-1호 ,299.72,  02- 529-2544,2016-11-25,6292,135-856,2005-08-05,제과점영업
제과점영업,2005-10-19,씨얀,서울특별시 강남구 테헤란로 517 (삼성동 현대백화점 지하1층),서울특별시 강남구 삼성동 159번지 7호 현대백화점 지하1층 ,7,  02-3467-6041,2005-10-19,6164,135-090,2005-10-19,제과점영업
제과점영업,2005-11-04,아마폴라델리,서울특별시 강남구 압구정로 165 (압구정동 현대백화점지하1층),서울특별시 강남구 압구정동 429번지 0호 현대백화점지하1층 ,9.91, 011-1712-6406,2007-10-11,6001,135-900,2005-11-04,제과점영업
제과점영업,2005-11-07,이에나파이(역삼점),서울특별시 강남구 역삼로8길 21 (역삼동 지상1층104호),서울특별시 강남구 역삼동 834번지 27호 지상1층104호 ,46.28,  02- 553-5138,2012-10-31,6250,135-569,2005-11-07,제과점영업
제과점영업,2005-12-08,쿠키모리,서울특별시 강남구 압구정로36길 5 (신사동 지상1층),서울특별시 강남구 신사동 616번지 10호 지상1층 ,86.8,  02- 544-5767,2005-12-08,6023,135-894,2005-12-08,제과점영업
제과점영업,2005-12-13,아마도르,서울특별시 강남구 언주로 640 (논현동 지상1층),서울특별시 강남구 논현동 248번지 7호 지상1층 ,16.5,  02-3440-8233,2009-06-19,6098,135-832,2005-12-13,제과점영업
제과점영업,2005-12-20,파리바게뜨 대청타워점,서울특별시 강남구 개포로 623 (개포동 대청타워지상1층121호),서울특별시 강남구 개포동 13번지 3호 대청타워지상1층121호 ,132.23,  02-3413-8282,2016-03-23,6336,135-939,2005-12-20,제과점영업
제과점영업,2006-02-15,베떼엠갈레트,서울특별시 강남구 압구정로 165 (압구정동 현대백화점지하1층),서울특별시 강남구 압구정동 429번지 0호 현대백화점지하1층 ,9.91, 031- 711-9128,2006-02-15,6001,135-900,2006-02-15,제과점영업
