업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
집단급식소,1983-03-01,코원에너지서비스(주),서울특별시 강남구 남부순환로 3165 (대치동),서울특별시 강남구 대치동 27번지 1호  ,0,    -3410-8495,2014-05-22,6332,135-834,1983-03-01,집단급식소
집단급식소,1990-03-31,강남세브란스병원 환자식당,서울특별시 강남구 언주로 211 (도곡동 강남세브란스병원 본관 지하1층),서울특별시 강남구 도곡동 146번지 92호 강남세브란스병원 본관 지하1층 ,0,  02-2058-2998,2008-03-17,6273,135-720,2009-02-05,집단급식소
집단급식소,1990-03-31,(주)삼정관광호텔,서울특별시 강남구 봉은사로 150 (역삼동),서울특별시 강남구 역삼동 604번지 11호  ,0,  02- 557-1221,2013-05-02,6125,135-907,1990-03-31,집단급식소
집단급식소,1990-03-31,(주)한화갤러리아명품관,서울특별시 강남구 압구정로 343 (압구정동),서울특별시 강남구 압구정동 494번지  ,356,  02-3449-4090,2014-12-18,6008,135-906,1990-03-31,집단급식소
집단급식소,1990-08-22,(주)대웅제약,서울특별시 강남구 봉은사로114길 12 (삼성동),서울특별시 강남구 삼성동 163번지 3호  ,14,  02- 550-8191,1999-02-12,6170,135-881,1990-08-22,집단급식소
집단급식소,1991-10-18,(주)태승이십일,서울특별시 강남구 학동로42길 22 (논현동 지하6층),서울특별시 강남구 논현동 248번지 5호 지하6층 ,260.08,  02-3440-8149,2009-06-19,6098,135-832,2005-12-13,집단급식소
집단급식소,1991-11-30,금융결제원,서울특별시 강남구 테헤란로 202 (역삼동),서울특별시 강남구 역삼동 717번지 0호  ,0,  02- 531-1295,2007-05-23,6220,135-920,1991-11-30,집단급식소
집단급식소,1991-11-16,한국은행 강남본부,서울특별시 강남구 테헤란로 202 (역삼동),서울특별시 강남구 역삼동 717번지 0호  ,67.26,  02- 560-1072,2000-06-24,6220,135-920,1991-11-16,집단급식소
집단급식소,1991-10-01,강남구청구내식당,서울특별시 강남구 선릉로 668 (삼성동),서울특별시 강남구 삼성동 8번지 0호  ,55.6,  02- 511-5993,2011-08-10,6088,135-864,1991-10-01,집단급식소
집단급식소,1992-05-19,국악중고교,서울특별시 강남구 개포로22길 65 (개포동),서울특별시 강남구 개포동 1272번지 0호  ,51.59,  02-3460-0532,2007-09-13,6311,135-962,1992-05-19,집단급식소
집단급식소,1993-09-27,강남경찰서,서울특별시 강남구 테헤란로113길 12  10층 (삼성동),서울특별시 강남구 삼성동 171번지 2호  ,683,  02- 554-9533,2009-01-06,6171,135-882,2016-06-22,집단급식소
