업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
휴게음식점,1974-12-26,별,서울특별시 강남구 역삼로 454 (대치동),서울특별시 강남구 대치동 912번지 0호  ,100.01,  02- 567-3009,1991-07-15,6202,135-997,1974-12-26,다방
휴게음식점,1975-11-10,삼미, ,서울특별시 강남구 도곡동 125번지 22호  ,94.62,  02- 554-7511,1975-11-10, ,135-270,1975-11-10,다방
휴게음식점,1978-10-12,장원,서울특별시 강남구 언주로 601 (논현동),서울특별시 강남구 논현동 237번지 11호  ,84.02,  02- 547-9111,1984-11-12,6109,135-831,1978-10-12,다방
휴게음식점,1979-09-18,은마, ,서울특별시 강남구 대치동 287번지 96호  ,105.31,  02-   0-0000,1982-06-23, ,135-835,1979-09-18,다방
휴게음식점,1980-08-09,신일, ,서울특별시 강남구 개포동 0번지  ,109,  02- 556-7522,1980-08-09, ,135-240,1980-08-09,다방
휴게음식점,1981-12-16,원,서울특별시 강남구 도산대로 405 (청담동),서울특별시 강남구 청담동 86번지 2호  ,102.87,  02- 547-0598,1984-07-24,6014,135-954,1981-12-16,다방
휴게음식점,1982-11-25,대왕, ,서울특별시 강남구 대치동 256번지 1호 .3 ,69.99,  02- 547-1010,1982-11-25, ,135-835,1982-11-25,다방
휴게음식점,1982-01-12,리버사이드커피숍, ,서울특별시 강남구 신사동 342번지 1호  ,172.18,  02- 545-5855,1982-02-23, ,135-120,1982-01-12,다방
휴게음식점,1982-01-29,희, ,서울특별시 강남구 역삼동 430번지 6호  ,192.84,  02- 546-3056,1986-01-11, ,135-080,1982-01-29,다방
휴게음식점,1982-02-09,삼정관광호텔마리스,서울특별시 강남구 봉은사로 150 (역삼동),서울특별시 강남구 역삼동 604번지 11호  ,314.04,  02-0545-7545,2005-07-19,6125,135-907,1982-02-09,과자점
휴게음식점,1983-11-18,올웨이즈,서울특별시 강남구 도곡로 532 (대치동),서울특별시 강남구 대치동 991번지 4호  ,12.3,  02-0564-1285,1997-06-26,6282,135-501,1983-11-18,편의점
휴게음식점,1983-11-02,코오롱유통역삼1점,서울특별시 강남구 강남대로66길 16 (역삼동),서울특별시 강남구 역삼동 837번지 15호  ,13.48,  02- 563-9384,1993-11-02,6253,135-937,1993-11-02,편의점
휴게음식점,1983-04-16,진양, ,서울특별시 강남구 개포동 0번지  ,115,  02-0176-8800,1988-09-13, ,135-240,1983-04-16,다방
휴게음식점,1983-05-26,영동호텔제과,서울특별시 강남구 도산대로 144 (논현동),서울특별시 강남구 논현동 6번지 0호  ,12,  02-   0-0000,1983-05-26,6040,135-812,1983-05-26,과자점
휴게음식점,1984-06-01,동아, ,서울특별시 강남구 역삼동 437번지 1호  ,133.68,  02- 548-7679,1984-06-01, ,135-080,1984-06-01,다방
휴게음식점,1985-09-11,까치,서울특별시 강남구 강남대로 446 (역삼동),서울특별시 강남구 역삼동 814번지 1호  ,82.14,  02- 558-7240,1985-09-11,6123,135-931,1985-09-11,다방
휴게음식점,1985-10-25,한일다방,서울특별시 강남구 역삼로 161 (역삼동),서울특별시 강남구 역삼동 748번지 31호  ,51.84,  02- 558-6984,1985-10-25,6246,135-925,1985-10-25,다방
휴게음식점,1985-01-24,한누리,서울특별시 강남구 봉은사로 304 (역삼동),서울특별시 강남구 역삼동 681번지 0호  ,117,  02- 554-6810,1989-02-02,6143,135-916,1985-01-24,다방
휴게음식점,1985-02-05,향미, ,서울특별시 강남구 개포동 0번지  ,49.93,  02-0000-0000,1985-02-05, ,135-240,1985-02-05,다방
휴게음식점,1985-05-03,자유시간,서울특별시 강남구 역삼로 166 (역삼동),서울특별시 강남구 역삼동 790번지 0호  ,112.32,  02-0556-2068,1993-09-28,6248,135-929,1985-05-03,다방
휴게음식점,1985-05-20,경문,서울특별시 강남구 테헤란로8길 25 (역삼동),서울특별시 강남구 역삼동 828번지 0호  ,83.25,  02-0567-4417,2001-04-26,6239,135-935,1985-05-20,다방
휴게음식점,1986-03-13,현대, ,서울특별시 강남구 역삼동 227번지 3호  ,83.26,  02- 545-2136,1986-07-20, ,135-080,1986-03-13,다방
휴게음식점,1986-09-29,허바허바,서울특별시 강남구 테헤란로7길 12 (역삼동),서울특별시 강남구 역삼동 648번지 0호  ,105.28,  02-   0-0000,1989-01-16,6133,135-911,1986-09-29,다방
